kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
6504534,K03152.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,28.162612575,2.663e-06,-2.663e-06,0.952,3.19576,37749.6,23.52,1.95,-2.35,470.0,11.52,912.7,1.0,q1_q17_dr25_tce,4936.0,4.54,0.761,285.16711,41.967079,14.216
6307062,K03153.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,75.378956896,8.742e-06,-8.742e-06,0.273,7.70352,539175.0,58.76,10.36,-4.8,365.0,4.17,1886.6,1.0,q1_q17_dr25_tce,5420.0,4.596,0.771,297.62912,41.64151,14.863
5652983,K00371.02,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,9.0584662,0.0001146,-0.0001146,0.154,6.376,61.8,2.46,0.08,-0.08,1310.0,695.41,17.9,2.0,q1_q17_dr24_tce,5198.0,3.614,3.207,299.67615,40.856491,12.193
9092897,K07600.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,3.9169155,,,,2.11,,,,,,,,1.0,q1_q17_dr24_tce,,,,293.34308,45.444969,12.94
9246715,K07601.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,342.55315723,9.734e-05,-9.734e-05,0.797,73.8068,192887.0,830.99,184.1,-398.9,738.0,70.22,8248.4,1.0,q1_q17_dr25_tce,4857.0,2.422,14.219,300.95135,45.604118,9.266
9292130,K07602.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,362.747593,0.007962,-0.007962,0.3185,16.45,132.4,2.51,0.12,-0.09,384.0,5.13,13.0,1.0,q1_q17_dr24_tce,6176.0,3.885,2.16,296.06937,45.703098,10.662
9541144,K07603.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,1,0.536650344,7.98e-06,-7.98e-06,0.7718,2.878,25.8,1.57,0.65,-0.88,3380.0,30860.16,7.0,1.0,q1_q17_dr24_tce,5490.0,3.681,2.825,297.28665,46.139839,13.921
8677057,K07903.01,,CANDIDATE,CANDIDATE,0.967,0,0,0,0,0.694611128,3.741e-06,-3.741e-06,0.176,1.115,98.8,0.64,0.06,-0.04,1415.0,945.45,9.3,1.0,q1_q17_dr25_tce,4612.0,4.646,0.662,286.31052,44.838188,15.7
8702537,K07905.01,,CANDIDATE,CANDIDATE,0.924,0,0,0,0,7.4751841,0.0002273,-0.0002273,0.309,5.166,28.1,0.85,0.2,-0.27,1168.0,439.51,9.2,1.0,q1_q17_dr25_tce,5616.0,3.98,1.602,296.5477,44.898041,13.075
8757213,K07911.01,,FALSE POSITIVE,FALSE POSITIVE,0.078,1,0,0,0,328.0485,0.04563,-0.04563,0.329,13.75,398.0,2.22,0.78,-0.26,292.0,1.72,6.9,1.0,q1_q17_dr25_tce,6268.0,4.429,1.1,293.2709,44.919102,15.619
8880003,K07914.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,1.72128752,2.78e-05,-2.78e-05,0.449,2.366,58.5,0.65,0.17,-0.06,1415.0,944.49,7.7,2.0,q1_q17_dr25_tce,5813.0,4.561,0.833,289.77744,45.153191,15.178
8953296,K07916.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,0.784294574,5.1e-08,-5.1e-08,0.764,4.18831,212526.0,87.26,25.12,-22.85,2651.0,11702.6,1751.1,1.0,q1_q17_dr25_tce,6576.0,4.171,1.455,291.93869,45.222198,13.901
